primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;192.80086779892653;;;;;0;8;8;8;;;;;;;210.34834009991027;None;212.2316473000683;212.5482530000154;213.714925999986;213.73226760001853;222.90645090001635;None;None;0;222.90645090001635;None;;;;;;;;2;;;;;;;224.45639949990436;None;None;None;[];224.45639949990436;None;"['7', '7', '7', '7']";"[0.36602670000866055, 0.7656963001936674, 1.1496251001954079, 1.4939026001375169]";224.45639949990436;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;134.62621969351147;;;;;0;9;9;9;;;;;;;226.46460919990204;None;227.82290180004202;228.13954110001214;229.2979174000211;229.31450189999305;234.29766479996033;None;None;0;234.29766479996033;None;;;;;;;;7;;;;;;;235.8476915000938;None;None;None;[];235.8476915000938;None;"['9', '9', '9']";"[0.30242960015311837, 0.7745056001003832, 1.2544772999826819]";235.8476915000938;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;238.4103736452693;;;;;0;10;10;10;;;;;;;237.84755939990282;None;240.07235529995523;240.38910349993967;241.52247010008432;241.53905960009433;243.5224395999685;None;None;0;243.5224395999685;None;;;;;;;;5;;;;;;;245.0722262999043;None;None;None;[];245.0722262999043;None;None;;245.0722262999043;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;140.0;150.0;120.08648649110712;;;;;0;11;11;11;;;;;;;247.0889087000396;None;248.37222860008478;248.6888572999742;249.8719756999053;249.88887359993532;262.0220520000439;None;None;0;262.0220520000439;None;;;;;;;;5;;;;;;;263.5718119998928;None;None;None;[];263.5718119998928;None;None;;263.5718119998928;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;169.3395974323834;;;;;0;12;12;12;;;;;;;265.59680980001576;None;267.2800080999732;267.59638289990835;268.7298787999898;268.7466492000967;276.86315430002287;None;None;0;276.86315430002287;None;;;;;;;;3;;;;;;;278.41309090005234;None;None;None;[];278.41309090005234;None;"['7', '7']";"[0.3930073000956327, 0.8410496001597494]";278.41309090005234;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;124.24628091899196;;;;;0;13;13;13;;;;;;;280.4130071999971;None;281.70458559994586;282.02113649994135;283.2297378999647;283.24652389995754;288.1545418999158;None;None;0;288.1545418999158;None;;;;;;;;5;;;;;;;289.7043294000905;None;None;None;[];289.7043294000905;None;None;;289.7043294000905;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;140.0;150.0;236.6487020138435;;;;;0;14;14;14;;;;;;;291.7291047000326;None;293.9707315999549;294.2874634999316;295.46252229996026;295.4791649999097;303.03727509989403;None;None;0;303.03727509989403;None;;;;;;;;8;;;;;;;304.58706899988465;None;None;None;[];304.58706899988465;None;"['9', '9', '9']";"[0.3390009000431746, 0.786892700009048, 1.867124899988994]";304.58706899988465;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;238.8507440172915;;;;;0;15;15;15;;;;;;;306.5955284999218;None;308.88715950003825;309.20396289997734;310.38686889992096;310.4037488999311;321.33686030004174;None;None;0;321.33686030004174;None;;;;;;;;3;;;;;;;322.96150920004584;None;None;None;[];322.96150920004584;None;"['7', '7']";"[0.3165394999086857, 0.64461539988406]";322.96150920004584;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;185.59030554143408;;;;;0;16;16;16;;;;;;;324.97007020004094;None;326.74475449998863;327.06152749992907;328.19530669995584;328.2197433998808;330.20317659992725;None;None;0;330.20317659992725;None;;;;;;;;7;;;;;;;331.9864145000465;None;None;None;[];331.9864145000465;None;"['9', '9']";"[0.29165150015614927, 0.6837820999789983]";331.9864145000465;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;159.52646627166388;;;;;0;17;17;17;;;;;;;333.98642969992943;None;335.5779714998789;335.8945237000007;337.0283091000747;337.0536203000229;343.6276938000228;None;None;0;343.6276938000228;None;;;;;;;;3;;;;;;;345.17797839990817;None;None;None;[];345.17797839990817;None;"['7', '7']";"[0.3081348000559956, 0.6119113001041114]";345.17797839990817;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.0431594605889;;;;;0;18;18;18;;;;;;;347.1777888000943;None;348.4941076000687;348.8112256999593;349.9440299998969;349.9607756000478;352.0107138999738;None;None;0;352.0107138999738;None;;;;;;;;6;;;;;;;353.5606579000596;None;None;None;[];353.5606579000596;None;['9'];[0.21345009980723262];353.5606579000596;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;168.97426303437265;;;;;0;19;19;19;;;;;;;355.56902029993944;None;357.2104758999776;357.52719089994207;358.6605777000077;358.6775972000323;360.6606391000096;None;None;0;360.6606391000096;None;;;;;;;;1;;;;;;;362.29363540001214;None;None;None;[];362.29363540001214;None;"['7', '7', '7', '7']";"[0.2084244000725448, 0.45628949999809265, 0.9204093001317233, 1.2563875000923872]";362.29363540001214;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;202.13700247699333;;;;;0;20;20;20;;;;;;;364.3021996000316;None;366.2102502998896;366.52700749994256;367.6604198999703;367.67701600003056;369.6686491998844;None;None;0;369.6686491998844;None;;;;;;;;5;;;;;;;371.2183620999567;None;None;None;[];371.2183620999567;None;"['7', '9']";"[0.8359755999408662, 1.5877280998975039]";371.2183620999567;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;140.0;150.0;155.22310421045015;;;;;0;21;21;21;;;;;;;373.2185078000184;None;374.8017726999242;375.1184022000525;376.2850800000597;376.30173139995895;389.0432458000723;None;None;0;389.0432458000723;None;;;;;;;;7;;;;;;;391.4100363999605;None;None;None;[];391.4100363999605;None;"['9', '9', '9']";"[0.2759103998541832, 0.6838812998030335, 1.1159377999138087]";391.4100363999605;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
