Participant,Group,Condition,Accuracy
Sub-081,1.0,sad_sad,92.85714285714286
Sub-082,1.0,happy_happy,100.0
Sub-082,1.0,happy_sad,84.61538461538461
Sub-082,1.0,sad_happy,93.33333333333331
Sub-082,1.0,sad_sad,86.66666666666669
Sub-083,2.0,happy_happy,100.0
Sub-083,2.0,happy_sad,100.0
Sub-083,2.0,sad_happy,93.33333333333331
Sub-083,2.0,sad_sad,100.0
Sub-084,1.0,happy_happy,86.66666666666669
Sub-084,1.0,happy_sad,71.42857142857143
Sub-084,1.0,sad_happy,57.14285714285714
Sub-084,1.0,sad_sad,66.66666666666666
Sub-085,2.0,happy_happy,93.33333333333331
Sub-085,2.0,happy_sad,83.33333333333334
Sub-085,2.0,sad_happy,93.33333333333331
Sub-085,2.0,sad_sad,92.30769230769229
Sub-086,2.0,happy_happy,100.0
Sub-086,2.0,happy_sad,85.71428571428571
Sub-086,2.0,sad_happy,100.0
Sub-086,2.0,sad_sad,93.33333333333331
Sub-087,1.0,happy_happy,93.33333333333331
Sub-087,1.0,happy_sad,84.61538461538461
Sub-087,1.0,sad_happy,84.61538461538461
Sub-087,1.0,sad_sad,80.0
Sub-089,2.0,happy_happy,92.85714285714286
Sub-089,2.0,happy_sad,85.71428571428571
Sub-089,2.0,sad_happy,92.30769230769229
Sub-089,2.0,sad_sad,86.66666666666669
Sub-090,2.0,happy_happy,100.0
Sub-090,2.0,happy_sad,100.0
Sub-090,2.0,sad_happy,87.5
Sub-090,2.0,sad_sad,100.0
Sub-091,2.0,happy_happy,93.33333333333331
Sub-091,2.0,happy_sad,100.0
Sub-091,2.0,sad_happy,84.61538461538461
Sub-091,2.0,sad_sad,92.85714285714286
Sub-092,1.0,happy_happy,86.66666666666669
Sub-092,1.0,happy_sad,69.23076923076923
Sub-092,1.0,sad_happy,93.33333333333331
Sub-092,1.0,sad_sad,93.33333333333331
Sub-093,2.0,happy_happy,92.85714285714286
Sub-093,2.0,happy_sad,93.33333333333331
Sub-093,2.0,sad_happy,69.23076923076923
Sub-093,2.0,sad_sad,86.66666666666669
Sub-094,1.0,happy_happy,92.85714285714286
Sub-094,1.0,happy_sad,86.66666666666669
Sub-094,1.0,sad_happy,86.66666666666669
Sub-094,1.0,sad_sad,93.33333333333331
Sub-095,1.0,happy_happy,86.66666666666669
Sub-095,1.0,happy_sad,93.33333333333331
Sub-095,1.0,sad_happy,76.92307692307693
Sub-095,1.0,sad_sad,80.0
Sub-096,2.0,happy_happy,100.0
Sub-096,2.0,happy_sad,100.0
Sub-096,2.0,sad_happy,100.0
Sub-096,2.0,sad_sad,100.0
Sub-097,1.0,happy_happy,100.0
Sub-097,1.0,happy_sad,66.66666666666666
Sub-097,1.0,sad_happy,50.0
Sub-097,1.0,sad_sad,100.0
Sub-098,1.0,happy_happy,86.66666666666669
Sub-098,1.0,happy_sad,83.33333333333334
Sub-098,1.0,sad_happy,66.66666666666666
Sub-098,1.0,sad_sad,91.66666666666666
Sub-099,1.0,happy_happy,100.0
Sub-099,1.0,happy_sad,100.0
Sub-099,1.0,sad_happy,100.0
Sub-099,1.0,sad_sad,93.33333333333331
Sub-100,1.0,happy_happy,100.0
Sub-100,1.0,happy_sad,100.0
Sub-100,1.0,sad_happy,100.0
Sub-100,1.0,sad_sad,100.0
Sub-101,2.0,happy_happy,93.33333333333331
Sub-101,2.0,happy_sad,71.42857142857143
Sub-101,2.0,sad_happy,80.0
Sub-101,2.0,sad_sad,73.33333333333333
Sub-102,1.0,happy_happy,80.0
Sub-102,1.0,happy_sad,100.0
Sub-102,1.0,sad_happy,0.0
Sub-102,1.0,sad_sad,100.0
Sub-103,2.0,happy_happy,85.71428571428571
Sub-103,2.0,happy_sad,90.9090909090909
Sub-103,2.0,sad_happy,100.0
Sub-103,2.0,sad_sad,92.85714285714286
Sub-104,1.0,happy_sad,0.0
Sub-104,1.0,sad_sad,50.0
Sub-105,2.0,happy_happy,86.66666666666669
Sub-105,2.0,happy_sad,93.33333333333331
Sub-105,2.0,sad_happy,100.0
Sub-105,2.0,sad_sad,100.0
Sub-106,1.0,happy_happy,92.85714285714286
Sub-106,1.0,happy_sad,81.81818181818183
Sub-106,1.0,sad_happy,93.33333333333331
Sub-106,1.0,sad_sad,93.33333333333331
Sub-107,1.0,sad_happy,100.0
Sub-107,1.0,sad_sad,100.0
Sub-108,1.0,happy_happy,93.33333333333331
Sub-108,1.0,happy_sad,84.61538461538461
Sub-108,1.0,sad_happy,85.71428571428571
Sub-108,1.0,sad_sad,85.71428571428571
