"ROI","TaskCondition","Participant","BrainValue"
"1","4","105",-0.147504814975524
"1","4","106",0.0322387706520551
"1","4","107",0.318390501159569
"1","4","108",0.197400432856133
"1","4","109",0.247787451602944
"1","4","110",0.353271001537247
"1","4","111",-0.042028618787443
"1","4","112",0.197016968233843
"2","1","1",-0.470154259384163
"2","1","2",-0.0968356134329271
"2","1","3",0.105855625477237
"2","1","4",0.166068435028315
"2","1","5",0.17316588435163
"2","1","6",-0.268223265892016
"2","1","7",0.0296440401386159
"2","1","8",-0.0953703968410903
"2","1","9",0.0885115822500784
"2","1","10",-0.206006738740565
"2","1","11",0.178280671786827
"2","1","12",-0.345930979715857
"2","1","13",0.0454505329650668
"2","1","14",0.0894121006367789
"2","1","15",0.14017770523054
"2","1","16",-0.46039957481974
"2","1","17",0.0316722633170884
"2","1","18",0.080222336069562
"2","1","19",-0.675205440904067
"2","1","20",0.242325834637958
"2","1","21",-0.457823827499297
"2","1","22",0.0774537259348426
"2","1","23",0.262244878898988
"2","1","24",0.303157244095337
"2","1","25",0.443510694512567
"2","1","26",-0.00884583693876015
"2","1","27",-0.311412833604538
"2","1","28",-0.184380223304014
"2","1","29",-0.128191879641088
"2","1","30",-0.440305039053783
"2","1","31",-0.335539351978407
"2","1","32",-0.174566162879791
"2","1","33",-0.162390009520909
"2","1","34",-0.441489763978142
"2","1","35",-0.0257531001712423
"2","1","36",-0.41968555661932
"2","1","37",-0.381127606543553
"2","1","38",-0.32936486292903
"2","1","39",0.121690116194266
"2","1","40",0.204806557894359
"2","1","41",0.2017069170817
"2","1","42",-0.00160854864899614
"2","1","43",0.228628617385781
"2","1","44",0.106304061648292
"2","1","45",0.0658709678393826
"2","1","46",-0.326714632714667
"2","1","47",0.139531980773124
"2","1","48",-0.3662527477505
"2","1","49",0.0678649164850485
"2","1","50",-0.350684030587232
"2","1","51",-0.360440909642938
"2","1","52",-0.204793608617284
"2","1","53",-0.0278558526173938
"2","1","54",-0.312999746512349
"2","1","55",-0.378595885676824
"2","1","56",-0.184213659635696
"2","1","57",0.299198420396514
"2","1","58",0.362190036388962
"2","1","59",0.00387183143719425
"2","1","60",-0.165977178266408
"2","1","61",-0.222538118720115
"2","1","62",-0.29689486617813
"2","1","63",-0.295115974832069
"2","1","64",-0.12065079980208
"2","1","65",-0.0984228561486579
"2","1","66",-0.055749688334304
"2","1","67",-0.145578722104587
"2","1","68",-0.176486661705014
"2","1","69",-0.0491452990743385
"2","1","70",-0.413415992034342
"2","1","71",-0.155003601087946
"2","1","72",-0.0778273751985706
"2","1","73",0.0417221641486011
"2","1","74",0.118239719651609
"2","1","75",-0.35270025992077
"2","1","76",-0.13755957303546
"2","1","77",-0.547565643440902
"2","1","78",-0.124127898749502
"2","1","79",0.170488504049315
"2","1","80",-0.33847811808185
"2","1","81",0.0401061945806619
"2","1","82",-0.0478986573965872
"2","1","83",-0.289111421977329
"2","1","84",0.0411347821695594
"2","1","85",0.0481006837813411
"2","1","86",-0.0614822772149341
"2","1","87",-1.02145355328282
"2","1","88",-0.101146675161714
"2","1","89",-0.09613235537966
"2","1","90",0.0301767867285667
"2","1","91",-0.0170336009556431
"2","1","92",-0.309380723010158
"2","1","93",-0.26463885567098
"2","1","94",-0.0981439690340341
"2","1","95",-0.70372169716208
"2","1","96",0.364443286988369
"2","1","97",0.0223923341704275
"2","1","98",0.0089047725146307
"2","1","99",-0.320075223349201
"2","1","100",0.12854322602043
"2","1","101",0.0520602627647889
"2","1","102",0.615993263828379
"2","1","103",-0.0457766016228768
"2","1","104",-0.045159080785101
"2","1","105",-0.211239032307261
"2","1","106",-0.0927887243290651
"2","1","107",-0.00726841928482783
"2","1","108",-0.669730433800477
"2","1","109",-0.0440215522847403
"2","1","110",-0.409343260114187
"2","1","111",-0.0417316585033375
"2","1","112",-0.0195667707814165
"2","2","1",-0.491781780738535
"2","2","2",-0.334043818897931
"2","2","3",-0.0641042986058389
"2","2","4",0.590369981115426
"2","2","5",0.244960171642938
"2","2","6",-0.0349023242957717
"2","2","7",-0.948031464849061
"2","2","8",-0.00447001012526755
"2","2","9",-0.155177816332174
"2","2","10",-0.810818440242996
"2","2","11",0.116109642140071
"2","2","12",-0.113013796428809
"2","2","13",-0.11491186029043
"2","2","14",-0.0974690739455353
"2","2","15",0.149629150214416
"2","2","16",-0.385355520963184
"2","2","17",-0.105675488889286
"2","2","18",0.0817046833349528
"2","2","19",-0.523427454618419
"2","2","20",0.466780334279486
"2","2","21",-0.795585683933118
"2","2","22",0.263030373373039
