primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;609.3496773000807;None;611.0742852999829;611.3910680999979;612.5331278999802;612.5576830001082;614.5242335000075;None;None;0;614.5242335000075;None;;;;;;;;4;;;;;;;;616.0741922000889;None;None;None;[];616.0741922000889;None;['7'];616.0741922000889;None;[0.6981311000417918];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;619.0741385000292;None;621.04896130017;621.3656632001512;622.4991350001656;622.5156706001144;624.4240382001735;None;None;0;624.4240382001735;None;;;;;;;;5;;;;;;;;625.9737780001014;None;None;None;[];625.9737780001014;None;None;625.9737780001014;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;628.9903449001722;None;630.5486467001028;630.8653909000568;631.9988210999873;632.0152300000191;633.9986374999862;None;None;0;633.9986374999862;None;;;;;;;;6;;;;;;;;635.5486473999918;None;None;None;[];635.5486473999918;None;"['9', '9']";635.5486473999918;None;"[0.3116262999828905, 0.7914294998627156]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;638.5486283001956;None;640.1733453001361;640.4900970000308;641.6666346001439;641.6901029001456;644.9483162001707;None;None;0;644.9483162001707;None;;;;;;;;5;;;;;;;;646.4982410001103;None;None;None;[];646.4982410001103;None;None;646.4982410001103;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;649.5315153000411;None;651.2229129001498;651.5397405000404;652.6812156001106;652.6979857999831;654.6729723000899;None;None;0;654.6729723000899;None;;;;;;;;4;;;;;;;;656.2227358999662;None;None;None;[];656.2227358999662;None;"['7', '7']";656.2227358999662;None;"[0.2855096000712365, 0.7812514000106603]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;659.2229057999793;None;660.5644745000172;660.8810400001239;662.0310974000022;662.0476174000651;668.6058687001932;None;None;0;668.6058687001932;None;;;;;;;;4;;;;;;;;670.1558181999717;None;None;None;[];670.1558181999717;None;['7'];670.1558181999717;None;[0.3363659998867661];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;673.1558015001938;None;674.8888592000585;675.2056102000643;676.3470548000187;676.3637190000154;678.338912300067;None;None;0;678.338912300067;None;;;;;;;;5;;;;;;;;679.888638000004;None;None;None;[];679.888638000004;None;None;679.888638000004;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;682.9134847000241;None;684.7801903001964;685.0970247001387;686.2300992000382;686.2468683000188;688.2303149001673;None;None;0;688.2303149001673;None;;;;;;;;5;;;;;;;;689.780237399973;None;None;None;[];689.780237399973;None;None;689.780237399973;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;692.8048865001183;None;694.4882288000081;694.8049095000606;695.9300479001831;695.9466252001002;697.9382339001168;None;None;0;697.9382339001168;None;;;;;;;;5;;;;;;;;699.488268900197;None;None;None;[];699.488268900197;None;['9'];699.488268900197;None;[2.435839500045404];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;702.4881104000378;None;704.0546063000802;704.3713261999656;705.4961665000301;705.5130129000172;712.9460856001824;None;None;0;712.9460856001824;None;;;;;;;;4;;;;;;;;714.4960281001404;None;None;None;[];714.4960281001404;None;['7'];714.4960281001404;None;[0.9319023001007736];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
