primePerson	primeGender	prime	primeEmotion	corrAnsPrime	target	targetEmotion	corrAnsTar	Cond	ID_Primer	ID_Target	JitterTime	Condition	example.thisRepN	example.thisTrialN	example.thisN	example.thisIndex	study.thisRepN	study.thisTrialN	study.thisN	study.thisIndex	MR_trigger_time	MR_trigger_number	text_intro.started	text_intro.stopped	text_probe.started	text_probe.stopped	polygon_ISI.started	polygon_ISI.stopped	polygon.started	polygon.stopped	primerImage.started	primerImage.stopped		response.started	response.stopped	key_resp.keys	key_resp.corr	key_resp.started	key_resp.stopped	slider_Text.started	slider_Text.stopped	slider_ex.response	slider_ex.rt	slider_ex.history	slider_ex.started	slider_ex.stopped	Rating	slider_resp_response.keys	slider_resp_response.rt	slider_resp_response.started	slider_resp_response.stopped	key_resp.rt	text_start.started	text_start.stopped	text_slider.started	text_slider.stopped	slider_stud.response	slider_stud.rt	slider_stud.history	slider_stud.started	slider_stud.stopped	slider_resp_study.keys	slider_resp_study.rt	slider_resp_study.started	slider_resp_study.stopped	text_ende.started	text_ende.stopped	participant	date	expName	psychopyVersion	frameRate
3	m	013_y_m_s_a.jpg	sad	7	sad_7.7ns.avi	sad	7	congruent	130	160	226.4398581	s_s					0	28	28	28							440.0834725	None	442.1914798	442.508312	443.6666637	443.6831959	0.0165322	449.6416423	None	7	0	449.6416423	None								1					0.5594835			451.1913884	None	None	None	[]	451.1913884	None	['7', '7', '7', '7']	[0.42572780000045896, 0.66608119988814, 0.8656623000279069, 1.0418116000946611]	451.1913884	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_h_a.jpg	happy	9	happy_25.1ns.avi	happy	9	congruent	140	150	150.8721017	h_h					0	29	29	29							454.1913303	None	455.6578611	455.9745779	457.1495663	457.1668334	0.0172671	460.7994181	None	None	0	460.7994181	None								7								462.349509	None	None	None	[]	462.349509	None	['9', '9']	[0.2596549999434501, 0.46747479983605444]	462.349509	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_s_a.jpg	sad	7	happy_125.3.wmv	happy	9	incongruent	130	150	227.8340469	s_h					0	30	30	30							465.3496879	None	467.4491756	467.7660124	468.8996183	468.916254	0.0166357	470.8992425	None	None	0	470.8992425	None								8								472.4491385	None	None	None	[]	472.4491385	None	['9', '9', '9']	[0.7841286000330001, 1.0640617001336068, 2.712040200131014]	472.4491385	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_s_a.jpg	sad	7	happy_28.1ns.avi	happy	9	incongruent	130	150	140.3061823	s_h					0	31	31	31							475.449192	None	476.8155153	477.1323085	478.265505	478.2827131	0.0172081	482.6572264	None	None	0	482.6572264	None								8								484.2072398	None	None	None	[]	484.2072398	None	['9', '9', '9', '9']	[0.23390519991517067, 0.4258481999859214, 0.6098992999177426, 1.0258770999498665]	484.2072398	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_s_a.jpg	sad	7	happy_52.2ns.avi	happy	9	incongruent	130	150	193.110778	s_h					0	32	32	32							487.207039	None	489.0235635	489.3403058	490.4984715	490.5151431	0.0166716	494.0236543	None	None	0	494.0236543	None								9								495.5650165	None	None	None	[]	495.5650165	None	['9', '9', '9', '9']	[0.2201410001143813, 0.8603362999856472, 1.068397399969399, 1.5402861000038683]	495.5650165	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	013_y_m_s_a.jpg	sad	7	happy_56.2ns.avi	happy	9	incongruent	130	150	199.7439438	s_h					0	33	33	33							498.5734435	None	500.4315179	500.7483321	501.8813667	501.8983506	0.0169839	506.9149034	None	None	0	506.9149034	None								5								508.4646715	None	None	None	[]	508.4646715	None	None		508.4646715	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_h_a.jpg	happy	9	sad_133.1.wmv	sad	7	incongruent	120	160	221.3565913	h_s					0	34	34	34							511.4980264	None	513.5561184	513.873027	515.0062988	515.0229893	0.0166905	517.0061874	None	7	0	517.0061874	None								2					0.7710255			518.8728972	None	None	None	[]	518.8728972	None	['7', '7', '7', '7', '7']	[0.09624109999276698, 0.32829660014249384, 0.5443397001363337, 0.78467410011217, 1.0483288001269102]	518.8728972	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_s_a.jpg	sad	7	happy_139.1.wmv	happy	9	incongruent	130	150	179.9141026	s_h					0	35	35	35							521.8727839	None	523.5730702	523.8894626	525.0225079	525.03936	0.0168521	527.0232832	None	None	0	527.0232832	None								7								528.5730008	None	None	None	[]	528.5730008	None	['9', '9', '9']	[0.22823720006272197, 0.452214099932462, 0.7001565999817103]	528.5730008	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	040_y_f_s_a.jpg	sad	7	happy_127.3.wmv	happy	9	incongruent	130	150	141.7462638	s_h					0	36	36	36							531.5724983	None	532.9556798	533.2722216	534.4057891	534.4224272	0.0166381	536.4725118	None	9	0	536.4725118	None								9					0.7367724			538.0723382	None	None	None	[]	538.0723382	None	['9', '9', '9', '9', '9']	[0.11272630002349615, 0.2968461001291871, 0.4568829000927508, 0.6410797999706119, 2.4570008001755923]	538.0723382	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	033_o_m_h_a.jpg	happy	9	sad_128.1.wmv	sad	7	incongruent	120	160	136.6637399	h_s					0	37	37	37							541.0722239	None	542.4138156	542.7304733	543.8555544	543.8721911	0.0166367	545.8637653	None	None	0	545.8637653	None								1								547.4387564	None	None	None	[]	547.4387564	None	['7', '7', '7', '7', '7', '7']	[0.25859260000288486, 0.4906736998818815, 0.7225518999621272, 1.2263817999046296, 1.5946545000188053, 1.9466557998675853]	547.4387564	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
9	f	019_m_f_h_a.jpg	happy	9	sad_115.1.wmv	sad	7	incongruent	120	160	191.1656382	h_s					0	38	38	38							550.4386703	None	552.255583	552.5718314	553.6969161	553.7134863	0.0165702	555.7053746	None	None	0	555.7053746	None								4								557.2465748	None	None	None	[]	557.2465748	None	['7']	[0.29852099996060133]	557.2465748	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
6	m	016_y_m_s_a.jpg	sad	7	happy_60.4ns.avi	happy	9	incongruent	130	150	156.8737554	s_h					0	39	39	39							560.2551305	None	561.771549	562.08826	563.2135398	563.2300268	0.016487	569.0132323	None	None	0	569.0132323	None								6								571.1047759	None	None	None	[]	571.1047759	None	['9']	[2.232457100180909]	571.1047759	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_s_a.jpg	sad	7	happy_133.3.wmv	happy	9	incongruent	130	150	230.660375	s_h					0	40	40	40							574.1047615	None	576.2628825	576.5794078	577.7127778	577.7295461	0.0167683	579.7129336	None	None	0	579.7129336	None								9								581.2543067	None	None	None	[]	581.2543067	None	['9', '9', '9', '9', '9']	[0.22680440009571612, 0.46712779998779297, 0.6428954999428242, 0.819043800001964, 1.1870196999516338]	581.2543067	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
1	f	021_o_f_s_a.jpg	sad	7	happy_61.2ns.avi	happy	9	incongruent	130	150	154.2855193	s_h					0	41	41	41							584.2627768	None	585.745842	586.0624945	587.2126507	587.2292096	0.0165589	591.7209206	None	None	0	591.7209206	None								6								593.2708275	None	None	None	[]	593.2708275	None	['9', '9', '9']	[0.21852750005200505, 0.59454600000754, 1.8825727000366896]	593.2708275	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
1	f	021_o_f_h_a.jpg	happy	9	sad_116.1.wmv	sad	7	incongruent	120	160	179.4514767	h_s					0	42	42	42							596.2790245	None	597.9872904	598.3041658	599.437354	599.4539244		601.4378743	None	None	0	601.4378743	None								3								602.9869902	None	None	None	[]	602.9869902	None	['7', '7']	[0.2383004000876099, 0.4144810999277979]	602.9869902	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	033_o_m_s_a.jpg	sad	7	happy_126.3.wmv	happy	9	incongruent	130	150	143.7828621	s_h					0	43	43	43							605.9955009	None	607.4037804	607.7202435	608.8535534	608.8703847		610.8620299	None	None	0	610.8620299	None								7								612.4122132	None	None	None	[]	612.4122132	None	['9', '9']	[0.3412216000724584, 0.5012328000739217]	612.4122132	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_h_a.jpg	happy	9	sad_111.1.wmv	sad	7	incongruent	120	160	235.8148452	h_s					0	44	44	44							615.4203231	None	617.5866927	617.9038596	619.0367522	619.0534123		621.0367843	None	None	0	621.0367843	None								2								622.6866634	None	None	None	[]	622.6866634	None	['7', '7', '7']	[0.2825635001063347, 0.46698380005545914, 0.6664641001261771]	622.6866634	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_s_a.jpg	sad	7	happy_131.2.wmv	happy	9	incongruent	130	150	133.7472449	s_h					0	45	45	45							625.6948738	None	627.0113815	627.3280842	628.4615409	628.4781844		630.4615415	None	9	0	630.4615415	None								8					1.1877265			632.0362111	None	None	None	[]	632.0362111	None	['9', '9', '9']	[9.306913900189102, 0.23716020002029836, 1.1652975999750197]	632.0362111	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
7	m	027_o_m_s_a.jpg	sad	7	happy_117.3.wmv	happy	9	incongruent	130	150	162.3255735	s_h					0	46	46	46							635.011265	None	636.5694159	636.8861538	638.0278744	638.0445198		640.019449	None	None	0	640.019449	None								7								641.5694269	None	None	None	[]	641.5694269	None	['9', '9', '9', '7']	[0.45605410006828606, 0.9280573001597077, 1.2479472002014518, 1.6240180002059788]	641.5694269	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
2	f	012_o_f_h_a.jpg	happy	9	sad_113.1.wmv	sad	7	incongruent	120	160	238.694387	h_s					0	47	47	47							644.5775745	None	646.7692149	647.0858544	648.2193547	648.2359057		650.2190468	None	None	0	650.2190468	None								2								651.7691791	None	None	None	[]	651.7691791	None	['7', '7', '7']	[0.24810480000451207, 0.4561167999636382, 0.6720457000192255]	651.7691791	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
