primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;588.1710675000213;None;589.879192900029;590.19577510003;591.3209521999815;591.3375229999656;593.3290800000541;None;None;0;593.3290800000541;None;;;;;;;;3;;;;;;;594.8955895999679;None;None;None;[];594.8955895999679;None;"['7', '7']";"[0.34045150002930313, 0.612549600074999]";594.8955895999679;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;597.8956545999972;None;599.970608600066;600.2872644000454;601.4205763000064;601.4379426999949;608.870466500055;None;None;0;608.870466500055;None;;;;;;;;7;;;;;;;610.4201063000364;None;None;None;[];610.4201063000364;None;"['9', '9']";"[0.2720614999998361, 0.7279198999749497]";610.4201063000364;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;613.4285545999883;None;615.4032587000402;615.7200604999671;616.8870270000771;616.90325079998;629.0532457999652;None;None;0;629.0532457999652;None;;;;;;;;7;;;;;;;630.6195065999636;None;None;None;[];630.6195065999636;None;"['9', '9', '9']";"[0.3767892000032589, 0.9445854999357834, 1.4007087999489158]";630.6195065999636;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;633.6280860999832;None;635.6943850000389;636.011089400039;637.1444646000164;637.1611139000161;640.8694630999817;None;None;0;640.8694630999817;None;;;;;;;;8;;;;;;;642.4191090000095;None;None;None;[];642.4191090000095;None;"['9', '9', '9', '9']";"[0.49745529994834214, 0.7849941999884322, 1.2170239000115544, 1.817338600056246]";642.4191090000095;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;645.4275199000258;None;647.9358124000719;648.2523382999934;649.3861306000035;649.410645200056;653.9106364999898;None;None;0;653.9106364999898;None;;;;;;;;8;;;;;;;655.4605645000702;None;None;None;[];655.4605645000702;None;"['9', '9', '9', '9']";"[0.45571629994083196, 0.7514988998882473, 1.183909099898301, 1.8634248999878764]";655.4605645000702;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;658.4605531999841;None;660.0437670999672;660.360324600013;661.5437149000354;661.5603172000265;669.460252400022;None;None;0;669.460252400022;None;;;;;;;;3;;;;;;;671.0182289000368;None;None;None;[];671.0182289000368;None;"['7', '7']";"[0.47408099996391684, 0.834071799996309]";671.0182289000368;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;674.0266741999658;None;676.5930284999777;676.9098364000674;678.1515152000356;678.1681763000088;690.8343506000238;None;None;0;690.8343506000238;None;;;;;;;;8;;;;;;;692.3843274000101;None;None;None;[];692.3843274000101;None;"['9', '9', '9', '9']";"[0.5558515000157058, 1.0196942000184208, 1.516028800047934, 2.219974600011483]";692.3843274000101;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;695.3843057000777;None;697.2009281000355;697.5175038999878;698.7008634000085;698.7175591000123;702.2007444000337;None;None;0;702.2007444000337;None;;;;;;;;7;;;;;;;703.7505279000616;None;None;None;[];703.7505279000616;None;"['9', '9']";"[0.9898335000034422, 1.4135642999317497]";703.7505279000616;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;706.7507736000698;None;709.2255556000164;709.5421093000332;710.7008958000224;710.7261435000692;718.0671253000619;None;9;0;718.0671253000619;None;;;;;;;;7;;;;;;;719.6251978999935;None;None;None;[];719.6251978999935;None;"['9', '9']";"[0.658907400094904, 0.9148373000789434]";719.6251978999935;None;0.8329368000850081;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;722.6252866999712;None;724.5332420000341;724.849965200061;725.9749945000513;725.9915927000111;727.9831788999727;None;None;0;727.9831788999727;None;;;;;;;;3;;;;;;;729.5330454000505;None;None;None;[];729.5330454000505;None;"['7', '7', '7']";"[0.535130099975504, 0.8791335999267176, 1.5355578999733552]";729.5330454000505;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
