primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;317.1174475001171;None;318.7507067001425;319.0673448999878;320.2509377000388;320.27554340008646;325.20061240019277;None;7;0;325.20061240019277;None;;;;;;;;5;;;;0.6579988000448793;;;326.7504241000861;None;None;None;[];326.7504241000861;None;None;326.7504241000861;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;329.7753198000137;None;331.8586066002026;332.1752041000873;333.34174480009824;333.3584072000813;337.8834875000175;None;9;0;337.8834875000175;None;;;;;;;;7;;;;0.791191800031811;;;339.43335380009376;None;None;None;[];339.43335380009376;None;"['9', '9']";339.43335380009376;None;"[0.697605999885127, 1.041303499834612]";;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;342.43330880021676;None;343.90821390016936;344.22487400006503;345.3581764001865;345.37483200011775;347.3582100002095;None;7;0;347.3582100002095;None;;;;;;;;5;;;;0.4443975000176579;;;348.8997182000894;None;None;None;[];348.8997182000894;None;None;348.8997182000894;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;351.9246740001254;None;353.99116310011595;354.30789560009725;355.4412086000666;355.4578843000345;364.66594720003195;None;7;0;364.66594720003195;None;;;;;;;;5;;;;0.5609460000414401;;;366.2158891002182;None;None;None;[];366.2158891002182;None;None;366.2158891002182;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;369.24090520013124;None;370.44070710008964;370.75721220020205;371.93243900011294;371.9490165000316;374.58232060004957;None;9;0;374.58232060004957;None;;;;;;;;5;;;;0.4922866001725197;;;376.1322547001764;None;None;None;[];376.1322547001764;None;None;376.1322547001764;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;379.1571227000095;None;380.65683980006725;380.973740800051;382.13177830004133;382.1485247001983;389.86499760020524;None;7;0;389.86499760020524;None;;;;;;;;5;;;;0.5376941000577062;;;391.41500550019555;None;None;None;[];391.41500550019555;None;None;391.41500550019555;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;394.4400332001969;None;395.7898199001793;396.1065836001653;397.23159880004823;397.24823670019396;399.2403983999975;None;8;0;399.2403983999975;None;;;;;;;;5;;;;1.450191600015387;;;400.78978370013647;None;None;None;[];400.78978370013647;None;None;400.78978370013647;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;403.80636730021797;None;405.8063483000733;406.1228514001705;407.24797180015594;407.2646018001251;409.2562120000366;None;8;0;409.2562120000366;None;;;;;;;;5;;;;0.970178100047633;;;410.8061553000007;None;None;None;[];410.8061553000007;None;None;410.8061553000007;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;413.8394454000518;None;415.14770190021954;415.46415240014903;416.59791650017723;416.61454950016923;422.5224992001895;None;9;0;422.5224992001895;None;;;;;;;;5;;;;0.7121224000584334;;;424.064162600087;None;None;None;[];424.064162600087;None;None;424.064162600087;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;427.097701900173;None;428.4053786001168;428.72216020012274;429.84725430002436;429.8639150999952;431.92232720018364;None;9;0;431.92232720018364;None;;;;;;;;5;;;;0.41603399999439716;;;433.47211880004033;None;None;None;[];433.47211880004033;None;None;433.47211880004033;None;;;;S10961;2021_Oct_06_1603;VideoMask;2021.1.2;119.97341391250514;
