Participant,Group,Condition,ReactionTime
Sub-064,1.0,happy_happy,0.7167686857033654
Sub-064,1.0,happy_sad,1.0250924000072041
Sub-064,1.0,sad_happy,0.6678274785517715
Sub-064,1.0,sad_sad,0.8374642214122494
Sub-065,1.0,happy_happy,0.8011873800152292
Sub-065,1.0,happy_sad,0.913577153848914
Sub-065,1.0,sad_happy,0.8769771769069709
Sub-065,1.0,sad_sad,0.8008008999944044
Sub-066,1.0,happy_happy,0.7974177785716685
Sub-066,1.0,happy_sad,0.9471763817974452
Sub-066,1.0,sad_happy,0.8224068133315693
Sub-066,1.0,sad_sad,0.7539734928702403
Sub-067,1.0,happy_happy,0.7175536066604157
Sub-067,1.0,happy_sad,0.8198509500167953
Sub-067,1.0,sad_happy,0.6961438732842604
Sub-067,1.0,sad_sad,0.6523553266345213
Sub-068,2.0,happy_happy,0.3936377866193652
Sub-068,2.0,happy_sad,0.5731572922892295
Sub-068,2.0,sad_happy,0.4410979666747153
Sub-068,2.0,sad_sad,0.5057951266877353
Sub-069,2.0,happy_happy,0.6272233714283045
Sub-069,2.0,happy_sad,0.7161438154020848
Sub-069,2.0,sad_happy,0.5306154399955024
Sub-069,2.0,sad_sad,0.5506284000252241
Sub-070,2.0,happy_happy,0.7474120785981151
Sub-070,2.0,happy_sad,0.7916947200195864
Sub-070,2.0,sad_happy,0.7453506928535977
Sub-070,2.0,sad_sad,1.0287870200350882
Sub-071,2.0,happy_happy,0.7186715214546504
Sub-071,2.0,happy_sad,0.7757780642548043
Sub-071,2.0,sad_happy,0.6428997466961542
Sub-071,2.0,sad_sad,0.8791431066890557
Sub-072,1.0,happy_happy,0.5300939266259471
Sub-072,1.0,happy_sad,0.5745478933366637
Sub-072,1.0,sad_happy,0.4834056071205331
Sub-072,1.0,sad_sad,0.5141099071063634
Sub-073,2.0,happy_happy,0.8634192142302969
Sub-073,2.0,happy_sad,0.9359704417098934
Sub-073,2.0,sad_happy,0.8306410001047576
Sub-073,2.0,sad_sad,0.9403574499301612
Sub-074,2.0,happy_happy,0.9393259666860104
Sub-074,2.0,happy_sad,1.1509423636069351
Sub-074,2.0,sad_happy,0.7530447266995907
Sub-074,2.0,sad_sad,0.9491494832327588
Sub-075,1.0,happy_happy,1.0983592666685582
Sub-075,1.0,happy_sad,1.0826980333222311
Sub-075,1.0,sad_happy,0.9633719692311178
