participantID,age,sex,group,condition,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,key_resp.rt,correct
Sub-032,25.0,2.0,2.0,sad_happy,0,0,0,0,0,2,8,4,1,0.6657111428711298,7.142857142857142
Sub-032,25.0,2.0,2.0,sad_sad,3,6,5,1,0,0,0,0,0,0.6402496461434146,76.92307692307693
Sub-033,33.0,1.0,2.0,happy_happy,0,0,0,0,1,6,6,2,0,0.8218874999930939,92.3076923076923
Sub-033,33.0,1.0,2.0,happy_sad,0,0,8,5,2,0,0,0,0,0.9007133666891605,100.0
Sub-033,33.0,1.0,2.0,sad_happy,0,0,0,0,3,4,6,2,0,0.8486205714122791,92.85714285714286
Sub-033,33.0,1.0,2.0,sad_sad,0,2,4,8,0,1,0,0,0,0.8605134154025179,92.3076923076923
Sub-034,25.0,1.0,2.0,happy_happy,0,0,0,0,3,3,8,1,0,,
Sub-034,25.0,1.0,2.0,happy_sad,3,6,2,3,1,0,0,0,0,,
Sub-034,25.0,1.0,2.0,sad_happy,0,0,0,0,6,5,1,2,1,,
Sub-034,25.0,1.0,2.0,sad_sad,3,4,4,3,1,0,0,0,0,,
Sub-035,30.0,1.0,1.0,happy_happy,1,0,2,2,5,3,1,0,1,0.5915358499790143,78.57142857142857
Sub-035,30.0,1.0,1.0,happy_sad,4,0,2,4,5,0,0,0,0,0.7883342785561192,78.57142857142857
Sub-035,30.0,1.0,1.0,sad_happy,0,1,3,2,5,0,0,3,1,0.7201335933990777,60.0
Sub-035,30.0,1.0,1.0,sad_sad,6,0,4,2,3,0,0,0,0,0.6608943400128434,66.66666666666666
Sub-036,18.0,1.0,1.0,happy_happy,0,0,0,4,8,1,2,0,0,0.6858552866731771,93.33333333333333
Sub-036,18.0,1.0,1.0,happy_sad,0,1,2,3,9,0,0,0,0,0.7131411999919995,75.0
Sub-036,18.0,1.0,1.0,sad_happy,0,0,0,2,4,5,3,1,0,0.6794142142877847,92.85714285714286
Sub-036,18.0,1.0,1.0,sad_sad,1,2,2,3,7,0,0,0,0,0.7913893800073614,73.33333333333333
Sub-037,30.0,2.0,1.0,happy_happy,0,0,0,0,8,6,1,0,0,1.1753307307685295,92.3076923076923
Sub-037,30.0,2.0,1.0,happy_sad,0,0,2,9,4,0,0,0,0,1.0106437799928245,100.0
Sub-037,30.0,2.0,1.0,sad_happy,0,0,1,0,5,8,1,0,0,0.9951582846160119,76.92307692307693
Sub-037,30.0,2.0,1.0,sad_sad,0,2,4,5,4,0,0,0,0,0.967729783335623,100.0
Sub-038,38.0,1.0,1.0,happy_happy,0,0,0,0,0,2,6,6,1,0.7570416466798633,100.0
Sub-038,38.0,1.0,1.0,happy_sad,0,4,4,4,3,0,0,0,0,0.8272892363602296,81.81818181818183
Sub-038,38.0,1.0,1.0,sad_happy,0,0,0,0,0,1,8,5,1,0.646066513331607,93.33333333333333
Sub-038,38.0,1.0,1.0,sad_sad,2,5,6,2,0,0,0,0,0,0.881101942829056,100.0
Sub-039,21.0,1.0,1.0,happy_happy,0,0,0,0,6,1,4,2,2,1.2033610666791599,100.0
Sub-039,21.0,1.0,1.0,happy_sad,3,3,5,3,1,0,0,0,0,0.5985838000196964,100.0
Sub-039,21.0,1.0,1.0,sad_happy,0,0,0,0,4,2,3,5,1,0.9673872001003474,100.0
Sub-039,21.0,1.0,1.0,sad_sad,5,3,2,3,2,0,0,0,0,1.430938400095329,100.0
Sub-040,27.0,1.0,1.0,happy_happy,0,0,0,0,8,3,2,1,1,0.6971767600470533,86.66666666666667
Sub-040,27.0,1.0,1.0,happy_sad,1,1,7,4,2,0,0,0,0,0.7713255181231282,90.9090909090909
Sub-040,27.0,1.0,1.0,sad_happy,0,0,0,0,8,5,1,1,0,0.8556028416302676,58.333333333333336
Sub-040,27.0,1.0,1.0,sad_sad,0,5,7,3,0,0,0,0,0,0.7192287866802265,100.0
Sub-041,23.0,1.0,2.0,happy_happy,0,0,0,0,0,2,5,8,0,0.6894019533569614,93.33333333333333
Sub-041,23.0,1.0,2.0,happy_sad,3,4,4,2,1,1,0,0,0,0.8464692999841645,83.33333333333334
Sub-041,23.0,1.0,2.0,sad_happy,0,0,0,0,1,0,7,4,3,0.6972717466764152,93.33333333333333
Sub-041,23.0,1.0,2.0,sad_sad,3,5,6,1,0,0,0,0,0,0.6549259066892167,93.33333333333333
Sub-042,27.0,1.0,1.0,happy_happy,0,0,0,0,1,6,3,4,1,0.7310940357149646,100.0
Sub-042,27.0,1.0,1.0,happy_sad,1,0,3,8,2,1,0,0,0,0.7003825250018659,91.66666666666666
Sub-042,27.0,1.0,1.0,sad_happy,0,0,0,1,1,4,4,1,4,0.6729936733279221,100.0
Sub-042,27.0,1.0,1.0,sad_sad,2,4,6,3,0,0,0,0,0,0.5564398200037733,93.33333333333333
Sub-043,44.0,1.0,2.0,happy_happy,0,0,0,0,0,3,6,4,2,0.6337463266643074,93.33333333333333
Sub-043,44.0,1.0,2.0,happy_sad,0,1,6,7,1,0,0,0,0,0.8511658266691181,80.0
Sub-043,44.0,1.0,2.0,sad_happy,0,0,0,0,0,0,7,6,2,0.5766477600050469,100.0
Sub-043,44.0,1.0,2.0,sad_sad,4,4,6,1,0,0,0,0,0,0.6895268307774901,100.0
